X0,y,X89
2015-12-16 18:30:00,20.9416666663,18.3
2015-12-16 18:35:00,21.2770833331,18.3
2015-12-16 18:40:00,21.6125,18.4
2015-12-16 18:45:00,21.6125,18.4
2015-12-16 18:50:00,21.84375,18.5
2015-12-16 18:55:00,22.075,18.7
2015-12-16 19:00:00,22.075,18.7
2015-12-16 19:05:00,22.2375,18.6
2015-12-16 19:10:00,22.4,18.7
2015-12-16 19:15:00,22.4,18.8
2015-12-16 19:20:00,22.425,18.7
2015-12-16 19:25:00,22.45,18.7
2015-12-16 19:30:00,22.45,18.7
2015-12-16 19:35:00,22.41875,18.7
2015-12-16 19:40:00,22.3875,18.7
2015-12-16 19:45:00,22.3875,18.7
2015-12-16 19:50:00,22.36875,18.7
2015-12-16 19:55:00,22.35,18.7
2015-12-16 20:00:00,22.35,18.8
2015-12-16 20:05:00,22.375,18.8
2015-12-16 20:10:00,22.4,18.8
2015-12-16 20:15:00,22.4,18.8
2015-12-16 20:20:00,22.375,17.4
2015-12-16 20:25:00,22.35,16.3
2015-12-16 20:30:00,22.35,16.0
2015-12-16 20:35:00,22.175,15.5
2015-12-16 20:40:00,22.0,15.1
2015-12-16 20:45:00,22.0,15.0
2015-12-16 20:50:00,21.875,14.8
2015-12-16 20:55:00,21.75,14.7
2015-12-16 21:00:00,21.75,14.7
2015-12-16 21:05:00,21.68125,14.6
2015-12-16 21:10:00,21.6125,14.6
2015-12-16 21:15:00,21.6125,14.5
2015-12-16 21:20:00,21.51875,14.4
2015-12-16 21:25:00,21.425,14.3
2015-12-16 21:30:00,21.425,14.2
2015-12-16 21:35:00,21.31875,14.1
2015-12-16 21:40:00,21.2125,14.0
2015-12-16 21:45:00,21.2125,13.9
2015-12-16 21:50:00,21.10625,13.8
2015-12-16 21:55:00,21.0,13.8
2015-12-16 22:00:00,21.0,13.7
2015-12-16 22:05:00,20.91875,13.7
2015-12-16 22:10:00,20.8375,13.6
2015-12-16 22:15:00,20.8375,13.6
2015-12-16 22:20:00,20.76875,13.6
2015-12-16 22:25:00,20.7,13.5
2015-12-16 22:30:00,20.7,13.5
2015-12-16 22:35:00,20.61875,13.5
2015-12-16 22:40:00,20.5375,13.5
2015-12-16 22:45:00,20.5375,13.5
2015-12-16 22:50:00,20.46875,13.5
2015-12-16 22:55:00,20.4,13.5
2015-12-16 23:00:00,20.4,13.5
2015-12-16 23:05:00,20.34375,13.5
2015-12-16 23:10:00,20.2875,13.5
2015-12-16 23:15:00,20.2875,13.4
2015-12-16 23:20:00,20.23125,13.4
2015-12-16 23:25:00,20.175,13.4
2015-12-16 23:30:00,20.175,13.4
2015-12-16 23:35:00,20.13125,13.4
2015-12-16 23:40:00,20.0875,13.3
2015-12-16 23:45:00,20.0875,13.3
2015-12-16 23:50:00,20.05625,13.3
2015-12-16 23:55:00,20.025,13.2
2015-12-17 00:00:00,20.025,13.2
2015-12-17 00:05:00,19.98125,13.2
2015-12-17 00:10:00,19.9375,13.2
2015-12-17 00:15:00,19.9375,13.1
2015-12-17 00:20:00,19.89375,13.1
2015-12-17 00:25:00,19.85,13.1
2015-12-17 00:30:00,19.85,13.0
2015-12-17 00:35:00,19.81875,13.0
2015-12-17 00:40:00,19.7875,13.0
2015-12-17 00:45:00,19.7875,13.0
2015-12-17 00:50:00,19.73125,12.9
2015-12-17 00:55:00,19.675,12.9
2015-12-17 01:00:00,19.675,12.8
2015-12-17 01:05:00,19.64375,12.8
2015-12-17 01:10:00,19.6125,12.8
2015-12-17 01:15:00,19.6125,12.7
2015-12-17 01:20:00,19.59375,12.7
2015-12-17 01:25:00,19.575,12.7
2015-12-17 01:30:00,19.575,12.7
2015-12-17 01:35:00,19.5375,12.7
2015-12-17 01:40:00,19.5,12.7
2015-12-17 01:45:00,19.5,12.7
2015-12-17 01:50:00,19.4875,12.7
2015-12-17 01:55:00,19.475,12.7
2015-12-17 02:00:00,19.475,12.7
2015-12-17 02:05:00,19.4375,12.7
2015-12-17 02:10:00,19.4,12.7
2015-12-17 02:15:00,19.4,12.7
2015-12-17 02:20:00,19.375,12.7
2015-12-17 02:25:00,19.35,12.7
2015-12-17 02:30:00,19.35,12.7
2015-12-17 02:35:00,19.33125,12.7
2015-12-17 02:40:00,19.3125,12.7
2015-12-17 02:45:00,19.3125,12.6
2015-12-17 02:50:00,19.275,12.6
2015-12-17 02:55:00,19.2375,12.6
2015-12-17 03:00:00,19.2375,12.6
2015-12-17 03:05:00,19.2145833333,12.6
2015-12-17 03:10:00,19.1916666665,12.6
2015-12-17 03:15:00,19.1916666665,12.5
2015-12-17 03:20:00,19.1583333331,12.5
2015-12-17 03:25:00,19.1249999997,12.4
2015-12-17 03:30:00,19.1249999997,12.4
2015-12-17 03:35:00,19.0999999997,12.4
2015-12-17 03:40:00,19.0749999997,12.3
2015-12-17 03:45:00,19.0749999997,12.3
2015-12-17 03:50:00,19.0499999997,12.2
2015-12-17 03:55:00,19.0249999998,12.1
2015-12-17 04:00:00,19.0249999998,12.1
2015-12-17 04:05:00,18.9999999999,12.0
2015-12-17 04:10:00,18.975,12.0
2015-12-17 04:15:00,18.975,12.0
2015-12-17 04:20:00,18.9458333333,11.9
2015-12-17 04:25:00,18.9166666665,11.9
2015-12-17 04:30:00,18.9166666665,11.9
2015-12-17 04:35:00,18.9020833332,11.8
2015-12-17 04:40:00,18.8875,11.8
2015-12-17 04:45:00,18.8875,11.8
2015-12-17 04:50:00,18.85,11.8
2015-12-17 04:55:00,18.8125,11.8
2015-12-17 05:00:00,18.8125,11.8
2015-12-17 05:05:00,18.7875,11.7
2015-12-17 05:10:00,18.7625,11.7
2015-12-17 05:15:00,18.7625,11.7
2015-12-17 05:20:00,18.7375,11.7
2015-12-17 05:25:00,18.7125,11.6
2015-12-17 05:30:00,18.7125,11.6
2015-12-17 05:35:00,18.69375,11.5
2015-12-17 05:40:00,18.675,11.5
2015-12-17 05:45:00,18.675,11.5
2015-12-17 05:50:00,18.675,11.4
2015-12-17 05:55:00,18.675,11.4
2015-12-17 06:00:00,18.675,11.4
2015-12-17 06:05:00,18.65,11.3
2015-12-17 06:10:00,18.625,11.3
2015-12-17 06:15:00,18.625,11.3
2015-12-17 06:20:00,18.61875,11.2
2015-12-17 06:25:00,18.6125,11.2
2015-12-17 06:30:00,18.6125,11.2
