X0,y
2015-12-20 01:00:00,19.1249999997
2015-12-20 01:15:00,19.0666666665
2015-12-20 01:30:00,19.0249999998
2015-12-20 01:45:00,18.9625
2015-12-20 02:00:00,18.9
2015-12-20 02:15:00,18.825
2015-12-20 02:30:00,18.775
2015-12-20 02:45:00,18.7
2015-12-20 03:00:00,18.6375
2015-12-20 03:15:00,18.6
2015-12-20 03:30:00,18.5375
2015-12-20 03:45:00,18.5
2015-12-20 04:00:00,18.425
2015-12-20 04:15:00,18.375
2015-12-20 04:30:00,18.3375
2015-12-20 04:45:00,18.3
2015-12-20 05:00:00,18.225
2015-12-20 05:15:00,18.2
2015-12-20 05:30:00,18.15
2015-12-20 05:45:00,18.125
2015-12-20 06:00:00,18.125
2015-12-20 06:15:00,18.125
2015-12-20 06:30:00,18.075
2015-12-20 06:45:00,18.025
2015-12-20 07:00:00,18.025
2015-12-20 07:15:00,18.025
2015-12-20 07:30:00,18.0
2015-12-20 07:45:00,17.95
2015-12-20 08:00:00,17.9375
2015-12-20 08:15:00,18.55
2015-12-20 08:30:00,20.65
2015-12-20 08:45:00,22.9125
2015-12-20 09:00:00,23.4625
2015-12-20 09:15:00,22.3125
2015-12-20 09:30:00,21.3875
2015-12-20 09:45:00,20.7375
2015-12-20 10:00:00,20.4125
2015-12-20 10:15:00,21.375
2015-12-20 10:30:00,22.5333333332
2015-12-20 10:45:00,22.675
2015-12-20 11:00:00,21.858333333
2015-12-20 11:15:00,21.308333333
2015-12-20 11:30:00,20.975
2015-12-20 11:45:00,20.725
2015-12-20 12:00:00,20.6375
2015-12-20 12:15:00,20.6
2015-12-20 12:30:00,20.575
2015-12-20 12:45:00,20.55
2015-12-20 13:00:00,20.55
2015-12-20 13:15:00,20.6
2015-12-20 13:30:00,20.65
2015-12-20 13:45:00,21.025
2015-12-20 14:00:00,21.95
2015-12-20 14:15:00,22.25
2015-12-20 14:30:00,21.7875
2015-12-20 14:45:00,21.55
2015-12-20 15:00:00,21.475
2015-12-20 15:15:00,21.4
2015-12-20 15:30:00,21.35
2015-12-20 15:45:00,21.325
2015-12-20 16:00:00,21.2625
2015-12-20 16:15:00,21.25
2015-12-20 16:30:00,21.2375
2015-12-20 16:45:00,21.225
2015-12-20 17:00:00,21.175
2015-12-20 17:15:00,21.1
2015-12-20 17:30:00,21.05
2015-12-20 17:45:00,21.0
2015-12-20 18:00:00,20.9375
2015-12-20 18:15:00,20.875
2015-12-20 18:30:00,20.825
2015-12-20 18:45:00,20.7
2015-12-20 19:00:00,20.6625
2015-12-20 19:15:00,20.675
2015-12-20 19:30:00,20.7375
2015-12-20 19:45:00,20.7
2015-12-20 20:00:00,20.6333333333
2015-12-20 20:15:00,20.6083333332
2015-12-20 20:30:00,20.5583333333
2015-12-20 20:45:00,20.5
2015-12-20 21:00:00,20.458333333
2015-12-20 21:15:00,20.4125
2015-12-20 21:30:00,20.2875
2015-12-20 21:45:00,20.175
2015-12-20 22:00:00,20.0
2015-12-20 22:15:00,19.8
2015-12-20 22:30:00,19.725
2015-12-20 22:45:00,19.6
2015-12-20 23:00:00,19.5
2015-12-20 23:15:00,19.425
2015-12-20 23:30:00,19.35
2015-12-20 23:45:00,19.325
2015-12-21 00:00:00,19.2625
2015-12-21 00:15:00,19.225
2015-12-21 00:30:00,19.175
2015-12-21 00:45:00,19.15
2015-12-21 01:00:00,19.075
2015-12-21 01:15:00,19.05
2015-12-21 01:30:00,18.9875
2015-12-21 01:45:00,18.95
2015-12-21 02:00:00,18.925
